2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第28期-2022年度-20250626_074825_736058.json20250626_103738_296579.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第29期-2022年度-20250626_074825_418005.json20250626_103738_298589.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第2期-2022年度-20250626_074833_553940.json20250626_103738_300569.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第30期-2023年度-20250626_074849_737968.json20250626_103738_302560.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第31期-2023年度-20250626_074849_400899.json20250626_103738_304517.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第32期-2023年度-20250626_074849_096873.json20250626_103738_306667.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第33期-2023年度-20250626_074848_802994.json20250626_103738_308536.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第34期-2023年度-20250626_074848_507438.json20250626_103738_311434.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第35期-2023年度-20250626_074848_203662.json20250626_103738_313456.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第36期-2023年度-20250626_074847_895838.json20250626_103738_315729.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第37期-2023年度-20250626_074847_600088.json20250626_103738_317709.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第38期-2023年度-20250626_074847_304144.json20250626_103738_319849.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第39期-2023年度-20250626_074847_002224.json20250626_103738_322018.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第3期-2022年度-20250626_074833_233072.json20250626_103738_323963.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第40期-2023年度-20250626_074846_692228.json20250626_103738_325862.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第41期-2023年度-20250626_074846_387052.json20250626_103738_327763.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第42期-2023年度-20250626_074846_111064.json20250626_103738_331138.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第43期-2023年度-20250626_074845_828258.json20250626_103738_333271.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第44期-2023年度-20250626_074845_498556.json20250626_103738_335466.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第45期-2023年度-20250626_074845_199035.json20250626_103738_337392.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第46期-2023年度-20250626_074844_904201.json20250626_103738_339288.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第47期-2023年度-20250626_074844_550227.json20250626_103738_341219.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第48期-2023年度-20250626_074844_243227.json20250626_103738_343068.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第49期-2023年度-20250626_074843_945314.json20250626_103738_344938.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第4期-2022年度-20250626_074832_924051.json20250626_103738_347188.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第50期-2023年度-20250626_074843_646910.json20250626_103738_349235.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第51期-2023年度-20250626_074843_366544.json20250626_103738_351250.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第52期-2023年度-20250626_074843_084969.json20250626_103738_353162.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第53期-2023年度-20250626_074842_784603.json20250626_103738_355094.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第54期-2023年度-20250626_074842_488866.json20250626_103738_357044.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第55期-2023年度-20250626_074842_193802.json20250626_103738_358986.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第56期-2023年度-20250626_074841_912470.json20250626_103738_360874.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第57期-2023年度-20250626_074841_616438.json20250626_103738_363512.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第58期-2023年度-20250626_074841_322239.json20250626_103738_366023.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第59期-2023年度-20250626_074841_029117.json20250626_103738_368040.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第5期-2022年度-20250626_074832_651879.json20250626_103738_369986.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第60期-2023年度-20250626_074840_733410.json20250626_103738_371818.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第61期-2023年度-20250626_074840_431850.json20250626_103738_373731.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第62期-2023年度-20250626_074840_155064.json20250626_103738_375669.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第63期-2023年度-20250626_074839_868724.json20250626_103738_377668.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第64期-2023年度-20250626_074839_580693.json20250626_103738_379941.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第65期-2023年度-20250626_074839_302969.json20250626_103738_381945.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第66期-2023年度-20250626_074839_016177.json20250626_103738_383911.json
